sku,nomeCatalogo,marcaCatalogo,slot,set,esitoDocumentale,compatibilitaScheda,collaudoFisico,nota,datiNecessari,fonti,verificaWebIndividuale
frame-alu,Telaio Alluminio 6013,Vertex,frame,1,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,Disegno CAD e tolleranze con un modello/revisione identificato.,,NO_O_SOLO_FAMIGLIA
frame-ti,Telaio Titanio Grado 5,AeroForge,frame,3,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,Disegno CAD e tolleranze con un modello/revisione identificato.,,NO_O_SOLO_FAMIGLIA
frame-poly,Telaio Policarbonato,EcoLine,frame,5,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,Disegno CAD e tolleranze con un modello/revisione identificato.,,NO_O_SOLO_FAMIGLIA
frame-mag,Telaio Qi2 magnetico,Vertex,frame,9,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,Disegno CAD e tolleranze con un modello/revisione identificato.,,NO_O_SOLO_FAMIGLIA
soc-x90,Snapdragon 8 Elite,Qualcomm,soc,2,FAMIGLIA_DOCUMENTATA_NON_QUALIFICATA,NON_VERIFICATA,NON_ESEGUITO,"Verificata famiglia e tipo memoria pubblicato; non package/pinout, motherboard o tutti i dati del catalogo.","Package/revisione e ball map, reference design, PMIC e sequenze, BSP/firmware, lista memorie qualificate.",https://www.qualcomm.com/content/dam/qcomm-martech/dm-assets/documents/Snapdragon-8-Elite-Platform-Product-Brief.pdf,PARZIALE_FAMIGLIA
soc-8e,Snapdragon 8 Gen 3,Qualcomm,soc,4,FAMIGLIA_DOCUMENTATA_NON_QUALIFICATA,NON_VERIFICATA,NON_ESEGUITO,"Verificata famiglia e tipo memoria pubblicato; non package/pinout, motherboard o tutti i dati del catalogo.","Package/revisione e ball map, reference design, PMIC e sequenze, BSP/firmware, lista memorie qualificate.",https://docs.qualcomm.com/doc/87-71408-1/87-71408-1_REV_G_Snapdragon_8_gen_3_Mobile_Platform_Product_Brief.pdf,PARZIALE_FAMIGLIA
soc-vertv2,Exynos 2400,Samsung,soc,6,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Voce di catalogo non equivalente a part number acquistabile e qualificato. Non ricercata individualmente in questa prima passata.,"Package/revisione e ball map, reference design, PMIC e sequenze, BSP/firmware, lista memorie qualificate.",,NO_O_SOLO_FAMIGLIA
soc-7g2,Snapdragon 7+ Gen 3,Qualcomm,soc,4,FAMIGLIA_DOCUMENTATA_NON_QUALIFICATA,NON_VERIFICATA,NON_ESEGUITO,"Verificata famiglia e tipo memoria pubblicato; non package/pinout, motherboard o tutti i dati del catalogo.","Package/revisione e ball map, reference design, PMIC e sequenze, BSP/firmware, lista memorie qualificate.",https://docs.qualcomm.com/doc/87-73943-1/87-73943-1_REV_E_Snapdragon_7__Gen_3_Mobile_Platform_Product_Brief.pdf,PARZIALE_FAMIGLIA
soc-q6,Dimensity 8300-Ultra,MediaTek,soc,6,DATI_INSUFFICIENTI,NON_VERIFICATA,NON_ESEGUITO,Ricercata famiglia 8300; suffisso Ultra e implementazione specifica non qualificati.,"Package/revisione e ball map, reference design, PMIC e sequenze, BSP/firmware, lista memorie qualificate.",https://www.mediatek.com/products/tablets/mediatek-dimensity-8300,NO_O_SOLO_FAMIGLIA
soc-g99,Helio G99,MediaTek,soc,11,FAMIGLIA_DOCUMENTATA_NON_QUALIFICATA,NON_VERIFICATA,NON_ESEGUITO,"Verificata famiglia e tipo memoria pubblicato; non package/pinout, motherboard o tutti i dati del catalogo.","Package/revisione e ball map, reference design, PMIC e sequenze, BSP/firmware, lista memorie qualificate.",https://www.mediatek.com/products/smartphones/mediatek-helio-g99,PARZIALE_FAMIGLIA
