immagine,coppia,soc,ram,storage,esitoCore,esitoConfigurazione,motivo,bloccoComune,fonte
pair-01-02-v01.png,01-02,soc-x90,ram-4,sto-64,CONFLITTO_RAM_DOCUMENTATO,BLOCCATA_PER_PROGETTAZIONE_REALE,soc-x90: memoria pubblicata LPDDR5X; selezionata ram-4 LPDDR4X. Non approvabile come abbinamento del controller documentato.,Mainboard senza schema/netlist/footprint/BOM/XY verificati; nessun collaudo reale.,https://www.qualcomm.com/content/dam/qcomm-martech/dm-assets/documents/Snapdragon-8-Elite-Platform-Product-Brief.pdf
pair-03-04-v01.png,03-04,soc-7g2,ram-12,sto-128,SOLO_TIPO_RAM_COINCIDENTE,BLOCCATA_PER_PROGETTAZIONE_REALE,"Tipo LPDDR coincide; MPN/capacita/bin/timing/package, storage, PCB e sistema non qualificati.",Mainboard senza schema/netlist/footprint/BOM/XY verificati; nessun collaudo reale.,https://docs.qualcomm.com/doc/87-73943-1/87-73943-1_REV_E_Snapdragon_7__Gen_3_Mobile_Platform_Product_Brief.pdf
pair-03-04-v02.png,03-04,soc-8e,ram-6,sto-128,CONFLITTO_RAM_DOCUMENTATO,BLOCCATA_PER_PROGETTAZIONE_REALE,soc-8e: memoria pubblicata LPDDR5X; selezionata ram-6 LPDDR4X. Non approvabile come abbinamento del controller documentato.,Mainboard senza schema/netlist/footprint/BOM/XY verificati; nessun collaudo reale.,https://docs.qualcomm.com/doc/87-71408-1/87-71408-1_REV_G_Snapdragon_8_gen_3_Mobile_Platform_Product_Brief.pdf
pair-05-06-v01.png,05-06,soc-q6,ram-16,sto-256,NON_VALUTATA_SUFFICIENTEMENTE,BLOCCATA_PER_PROGETTAZIONE_REALE,"Nessuna conclusione sulla compatibilita del core: ricerca specifica ancora incompleta. Famiglia 8300 LPDDR5X: chiarire Ultra, velocita operativa e MPN; non estesa automaticamente la qualifica della famiglia.",Mainboard senza schema/netlist/footprint/BOM/XY verificati; nessun collaudo reale.,https://www.mediatek.com/products/tablets/mediatek-dimensity-8300
pair-05-06-v02.png,05-06,soc-vertv2,ram-8,sto-256,NON_VALUTATA_SUFFICIENTEMENTE,BLOCCATA_PER_PROGETTAZIONE_REALE,Nessuna conclusione sulla compatibilita del core: ricerca specifica ancora incompleta.,Mainboard senza schema/netlist/footprint/BOM/XY verificati; nessun collaudo reale.,
pair-07-08-v01.png,07-08,soc-8s,ram-24,sto-512,SOLO_TIPO_RAM_COINCIDENTE,BLOCCATA_PER_PROGETTAZIONE_REALE,"Tipo LPDDR coincide; MPN/capacita/bin/timing/package, storage, PCB e sistema non qualificati.",Mainboard senza schema/netlist/footprint/BOM/XY verificati; nessun collaudo reale.,https://www.qualcomm.com/content/dam/qcomm-martech/dm-assets/documents/Product-Brief-Snapdragon-8s-Gen-4.pdf
pair-07-08-v02.png,07-08,soc-d9400,ram-8x,sto-512,SOLO_TIPO_RAM_COINCIDENTE,BLOCCATA_PER_PROGETTAZIONE_REALE,"Tipo LPDDR coincide; MPN/capacita/bin/timing/package, storage, PCB e sistema non qualificati.",Mainboard senza schema/netlist/footprint/BOM/XY verificati; nessun collaudo reale.,https://www.mediatek.com/products/smartphones/mediatek-dimensity-9400
pair-09-10-v01.png,09-10,soc-8e2,ram-18,sto-1tb41,NON_VALUTATA_SUFFICIENTEMENTE,BLOCCATA_PER_PROGETTAZIONE_REALE,Nessuna conclusione sulla compatibilita del core: ricerca specifica ancora incompleta.,Mainboard senza schema/netlist/footprint/BOM/XY verificati; nessun collaudo reale.,
pair-09-10-v02.png,09-10,soc-dim95,ram-32,sto-2tb,SOLO_TIPO_RAM_COINCIDENTE,BLOCCATA_PER_PROGETTAZIONE_REALE,"Tipo LPDDR coincide; MPN/capacita/bin/timing/package, storage, PCB e sistema non qualificati.",Mainboard senza schema/netlist/footprint/BOM/XY verificati; nessun collaudo reale.,https://www.mediatek.com/products/smartphones/mediatek-dimensity-9500
pair-09-10-v03.png,09-10,soc-ten6,ram-18,sto-1tb41,NON_VALUTATA_SUFFICIENTEMENTE,BLOCCATA_PER_PROGETTAZIONE_REALE,Nessuna conclusione sulla compatibilita del core: ricerca specifica ancora incompleta.,Mainboard senza schema/netlist/footprint/BOM/XY verificati; nessun collaudo reale.,
pair-11-12-v01.png,11-12,soc-exy26,ram-4,sto-1tb,NON_VALUTATA_SUFFICIENTEMENTE,BLOCCATA_PER_PROGETTAZIONE_REALE,Nessuna conclusione sulla compatibilita del core: ricerca specifica ancora incompleta.,Mainboard senza schema/netlist/footprint/BOM/XY verificati; nessun collaudo reale.,
pair-11-12-v02.png,11-12,soc-g99,ram-4,sto-1tb,SOLO_TIPO_RAM_COINCIDENTE,BLOCCATA_PER_PROGETTAZIONE_REALE,"Tipo LPDDR coincide; MPN/capacita/bin/timing/package, storage, PCB e sistema non qualificati. Host documentato UFS 2.2: nessuna modalita UFS 4.0 garantita per sto-1tb; retrocompatibilita del dispositivo esatto da verificare, non assumere incompatibilita assoluta dalla sola versione.",Mainboard senza schema/netlist/footprint/BOM/XY verificati; nessun collaudo reale.,https://www.mediatek.com/products/smartphones/mediatek-helio-g99
pair-11-12-v03.png,11-12,soc-helio,ram-4,sto-1tb,NON_VALUTATA_SUFFICIENTEMENTE,BLOCCATA_PER_PROGETTAZIONE_REALE,Nessuna conclusione sulla compatibilita del core: ricerca specifica ancora incompleta.,Mainboard senza schema/netlist/footprint/BOM/XY verificati; nessun collaudo reale.,
pair-11-12-v04.png,11-12,soc-tensor,ram-4,sto-1tb,NON_VALUTATA_SUFFICIENTEMENTE,BLOCCATA_PER_PROGETTAZIONE_REALE,Nessuna conclusione sulla compatibilita del core: ricerca specifica ancora incompleta.,Mainboard senza schema/netlist/footprint/BOM/XY verificati; nessun collaudo reale.,
pair-11-12-v05.png,11-12,soc-6g1,ram-4,sto-1tb,NON_VALUTATA_SUFFICIENTEMENTE,BLOCCATA_PER_PROGETTAZIONE_REALE,Nessuna conclusione sulla compatibilita del core: ricerca specifica ancora incompleta.,Mainboard senza schema/netlist/footprint/BOM/XY verificati; nessun collaudo reale.,
pair-11-12-v06.png,11-12,soc-7g3,ram-4,sto-1tb,NON_VALUTATA_SUFFICIENTEMENTE,BLOCCATA_PER_PROGETTAZIONE_REALE,Nessuna conclusione sulla compatibilita del core: ricerca specifica ancora incompleta.,Mainboard senza schema/netlist/footprint/BOM/XY verificati; nessun collaudo reale.,
pair-11-12-v07.png,11-12,soc-8g2,ram-4,sto-1tb,NON_VALUTATA_SUFFICIENTEMENTE,BLOCCATA_PER_PROGETTAZIONE_REALE,Nessuna conclusione sulla compatibilita del core: ricerca specifica ancora incompleta.,Mainboard senza schema/netlist/footprint/BOM/XY verificati; nessun collaudo reale.,
pair-11-12-v08.png,11-12,soc-d7300,ram-4,sto-1tb,NON_VALUTATA_SUFFICIENTEMENTE,BLOCCATA_PER_PROGETTAZIONE_REALE,Nessuna conclusione sulla compatibilita del core: ricerca specifica ancora incompleta.,Mainboard senza schema/netlist/footprint/BOM/XY verificati; nessun collaudo reale.,
pair-11-12-v09.png,11-12,soc-d8300,ram-4,sto-1tb,CONFLITTO_RAM_DOCUMENTATO,BLOCCATA_PER_PROGETTAZIONE_REALE,soc-d8300: memoria pubblicata LPDDR5X; selezionata ram-4 LPDDR4X. Non approvabile come abbinamento del controller documentato.,Mainboard senza schema/netlist/footprint/BOM/XY verificati; nessun collaudo reale.,https://www.mediatek.com/products/tablets/mediatek-dimensity-8300
pair-11-12-v10.png,11-12,soc-d9300,ram-4,sto-1tb,NON_VALUTATA_SUFFICIENTEMENTE,BLOCCATA_PER_PROGETTAZIONE_REALE,Nessuna conclusione sulla compatibilita del core: ricerca specifica ancora incompleta.,Mainboard senza schema/netlist/footprint/BOM/XY verificati; nessun collaudo reale.,
pair-13-14-v01.png,13-14,soc-ex2500,ram-12lp4,sto-256u4,CONFLITTO_RAM_DOCUMENTATO,BLOCCATA_PER_PROGETTAZIONE_REALE,soc-ex2500: memoria pubblicata LPDDR5X; selezionata ram-12lp4 LPDDR4X. Non approvabile come abbinamento del controller documentato.,Mainboard senza schema/netlist/footprint/BOM/XY verificati; nessun collaudo reale.,https://semiconductor.samsung.com/processor/mobile-processor/exynos-2500/
pair-13-14-v02.png,13-14,soc-kirin,ram-12lp4,sto-32,NON_VALUTATA_SUFFICIENTEMENTE,BLOCCATA_PER_PROGETTAZIONE_REALE,Nessuna conclusione sulla compatibilita del core: ricerca specifica ancora incompleta.,Mainboard senza schema/netlist/footprint/BOM/XY verificati; nessun collaudo reale.,
pair-13-14-v03.png,13-14,soc-tensor4,ram-12lp4,sto-512u31,NON_VALUTATA_SUFFICIENTEMENTE,BLOCCATA_PER_PROGETTAZIONE_REALE,Nessuna conclusione sulla compatibilita del core: ricerca specifica ancora incompleta.,Mainboard senza schema/netlist/footprint/BOM/XY verificati; nessun collaudo reale.,
pair-13-14-v04.png,13-14,soc-ex2500,ram-12lp4,sto-256u4,CONFLITTO_RAM_DOCUMENTATO,BLOCCATA_PER_PROGETTAZIONE_REALE,soc-ex2500: memoria pubblicata LPDDR5X; selezionata ram-12lp4 LPDDR4X. Non approvabile come abbinamento del controller documentato.,Mainboard senza schema/netlist/footprint/BOM/XY verificati; nessun collaudo reale.,https://semiconductor.samsung.com/processor/mobile-processor/exynos-2500/
