sku,name,slot,status,files,planned_set
frame-alu,Telaio Alluminio 6013,frame,REPRESENTED,set01-frame-alu.png,
frame-ti,Telaio Titanio Grado 5,frame,REPRESENTED,set03-frame-ti.png,
frame-poly,Telaio Policarbonato,frame,REPRESENTED,set05-frame-poly.png,
frame-mag,Telaio Qi2 magnetico,frame,REGENERATED_REVIEW_REQUIRED,set09-frame-mag.png,
soc-x90,Snapdragon 8 Elite,soc,REPRESENTED,set02-soc-snap.png,
soc-8e,Snapdragon 8 Gen 3,soc,REPRESENTED,set04-soc-8e.png,
soc-vertv2,Exynos 2400,soc,REPRESENTED,set06-soc-vertv2.png,
soc-7g2,Snapdragon 7+ Gen 3,soc,REPRESENTED,set04-soc-7g2.png,
soc-q6,Dimensity 8300-Ultra,soc,REPRESENTED,set06-soc-q6.png,
soc-g99,Helio G99,soc,REGENERATED,set11-soc-g99.png,
soc-helio,Unisoc T7250,soc,REGENERATED,set11-soc-helio.png,
soc-8e2,Snapdragon 8 Elite Gen 5,soc,REGENERATED,set10-soc-8e2.png,
soc-tensor,Tensor G5,soc,REGENERATED,set11-soc-tensor.png,
soc-d9400,Dimensity 9400,soc,REGENERATED_REVIEW_REQUIRED,set08-soc-d9400.png,
soc-dim95,Dimensity 9500,soc,REGENERATED,set10-soc-dim95.png,
ram-4,4 GB LPDDR4X,ram,REPRESENTED,set02-ram-4.png,
ram-6,6 GB LPDDR4X,ram,REPRESENTED,set04-ram-6.png,
ram-8,8 GB LPDDR5,ram,REPRESENTED,set06-ram-8.png,
ram-12,12 GB LPDDR5X,ram,REPRESENTED,set04-ram-12.png,
ram-16,16 GB LPDDR5X,ram,REPRESENTED,set06-ram-16.png,
ram-24,24 GB LPDDR5X,ram,REGENERATED_REVIEW_REQUIRED,set08-ram-24.png,
sto-64,64 GB UFS 2.2,storage,REPRESENTED,set02-sto-64.png,
sto-128,128 GB UFS 3.1,storage,REPRESENTED,set04-sto-128.png,
sto-256,256 GB UFS 3.1,storage,REPRESENTED,set06-sto-256.png,
sto-512,512 GB UFS 4.0,storage,REGENERATED_REVIEW_REQUIRED,set08-sto-512.png,
sto-1tb,1 TB UFS 4.0,storage,REGENERATED,set11-sto-1tb.png,
board-std,Mainboard SBS-A7,motherboard,REPRESENTED,set01-pcb-bare.png,
board-pro,Mainboard SBS-X9 Pro,motherboard,REPRESENTED,set03-board-pro.png,
th-gra,Foglio di grafite,thermal,REPRESENTED,set02-th-gra.png,
th-vc,Vapor chamber,thermal,REPRESENTED,set02-vapor-chamber.png;set04-th-vc.png,
th-gra-vc,Grafene + VC,thermal,REPRESENTED,set06-th-gra-vc.png,
bat-3000,Cella 3000 mAh,battery,REPRESENTED,set01-battery-pouch.png,
bat-4500,Cella 4500 mAh,battery,REPRESENTED,set03-bat-4500.png,
bat-5000,Cella 5000 mAh,battery,REPRESENTED,set05-bat-5000.png,
bat-6000,Cella 6000 mAh Si/C,battery,REPRESENTED,set07-bat-6000.png,
bat-7000,Cella 7000 mAh Si/C,battery,REGENERATED_REVIEW_REQUIRED,set09-bat-7000.png,
bat-dual,Doppia cella 5500 mAh,battery,REGENERATED,set11-bat-dual.png,
disp-lcd,"LCD IPS 6.1"" 60Hz",display,REPRESENTED,set01-disp-lcd.png,
disp-oled,"OLED 6.4"" 90Hz",display,REPRESENTED,set03-disp-oled.png,
disp-am,"AMOLED LTPO 6.7"" 120Hz",display,REPRESENTED,set05-disp-am.png,
disp-2k,"AMOLED 2K 6.9"" 144Hz",display,REPRESENTED,set07-disp-2k.png,
glass-gg5,Gorilla Glass 5,glass,REPRESENTED,set01-glass-gg5.png,
glass-dt,Dragontrail Star 2,glass,REPRESENTED,set03-glass-dt.png,
glass-victus3,Gorilla Glass Victus 2,glass,REPRESENTED,set05-glass-victus3.png,
glass-zaf,Zaffiro sintetico,glass,REGENERATED_REVIEW_REQUIRED,set09-glass-zaf.png,
back-glossy,Cover vetro lucido,backcover,REPRESENTED,set01-back-glossy.png,
back-matte,Cover vetro satinato,backcover,REPRESENTED,set03-back-matte.png,
back-cer,Cover in ceramica,backcover,REPRESENTED,set05-back-cer.png,
back-alu,Cover alluminio,backcover,REGENERATED,set11-back-alu.png,
back-leather,Cover pelle vegana,backcover,REGENERATED,set11-back-leather.png,
cam-dual,Dual 12 MP · IMX363,cameraRear,REPRESENTED,set01-cam-dual.png,
cam-triple,Triple 50 MP OIS · IMX906,cameraRear,REPRESENTED,set03-cam-triple.png,
cam-quad,Quad 200 MP · ISOCELL HP2,cameraRear,REPRESENTED,set05-cam-quad.png,
camf-8,Frontale 8 MP · IMX355,cameraFront,REPRESENTED,set01-cam-front.png,
camf-32,Frontale 32 MP AF · IMX615,cameraFront,REPRESENTED,set03-camf-32.png,
spk-mono,Speaker mono bottom,speaker,REPRESENTED,set01-speaker.png,
spk-stereo,Stereo con capsula,speaker,REPRESENTED,set03-spk-stereo.png,
spk-dolby,Stereo simmetrico + Atmos,speaker,REPRESENTED,set05-spk-dolby.png,
usb-20,USB-C 2.0,usb,REPRESENTED,set01-usb-flex.png,
usb-32,USB-C 3.2 Gen 2,usb,REPRESENTED,set03-usb-32.png,
usb-40,USB4 40 Gbps,usb,REPRESENTED,set05-usb-40.png,
ant-wifi5,Flex Wi-Fi 5 / 4G,antenna,REPRESENTED,set02-ant-wifi5.png;set02-antenna-flex.png,
ant-wifi7,Flex Wi-Fi 7 / 5G mmWave,antenna,REPRESENTED,set04-ant-wifi7.png,
hap-erm,Motorino ERM,haptics,REPRESENTED,set02-hap-erm.png,
hap-x,Motore lineare asse X,haptics,REPRESENTED,set04-hap-x.png,
mic-1,MEMS singolo,mic,REGENERATED_REVIEW_REQUIRED,set02-mic.png;set08-mic-1.png,
mic-3,Array 3 MEMS,mic,REPRESENTED,set04-mic-3.png,
